DocType: Naming Series,Set prefix for numbering series on your transactions,በእርስዎ ግብይቶች ላይ ተከታታይ ቁጥር አዘጋጅ ቅድመ ቅጥያ
DocType: Purchase Invoice,Overdue,በጊዜዉ ያልተከፈለ
DocType: Holiday List,Holidays,በዓላት
DocType: Territory,Territory Manager,ግዛት አስተዳዳሪ
DocType: Activity Cost,Costing Rate,ዋጋና የዋጋ ተመን
apps/erpnext/erpnext/stock/doctype/item/item.py +454,Barcode {0} already used in Item {1},የአሞሌ {0} አስቀድሞ ንጥል ውስጥ ጥቅም ላይ {1}
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +39,Cash Flow from Financing,በገንዘብ ከ የገንዘብ ፍሰት
apps/erpnext/erpnext/buying/page/purchase_analytics/purchase_analytics.js +98,Select Company...,ኩባንያ ይምረጡ ...
DocType: Request for Quotation Item,Request for Quotation Item,ትዕምርተ ንጥል ጥያቄ
DocType: Expense Claim Detail,Expense Claim Type,የወጪ የይገባኛል ጥያቄ አይነት
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +265,Row #{0}: Not allowed to change Supplier as Purchase Order already exists,የረድፍ # {0}: የግዢ ትዕዛዝ አስቀድሞ አለ እንደ አቅራቢው ለመለወጥ አይፈቀድም
DocType: Appraisal,Calculate Total Score,አጠቃላይ ነጥብ አስላ
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +352,Completed Qty can not be greater than 'Qty to Manufacture',ይልቅ &#39;ብዛት ለማምረት&#39; ተጠናቋል ብዛት የበለጠ መሆን አይችልም
apps/erpnext/erpnext/utilities/bot.py +29,{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),{0} [{1}] ክፍሎች (# ፎርም / ንጥል / {1}) [{2}] ውስጥ ይገኛል (# ፎርም / መጋዘን / {2})
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js +36,Chart of Cost Centers,ወጪ ማዕከላት ገበታ
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +103,Negative Quantity is not allowed,አሉታዊ ብዛት አይፈቀድም
DocType: Quality Inspection,Incoming,ገቢ
DocType: Project,Costing and Billing,ዋጋና አከፋፈል
DocType: Landed Cost Voucher,Get Items From Purchase Receipts,የግዢ ደረሰኞች ከ ንጥሎች ያግኙ
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py +68,Receiver List is empty. Please create Receiver List,ተቀባይ ዝርዝር ባዶ ነው. ተቀባይ ዝርዝር ይፍጠሩ
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +84,Invalid quantity specified for item {0}. Quantity should be greater than 0.,ንጥል የተጠቀሰው ልክ ያልሆነ ብዛት {0}. ብዛት 0 የበለጠ መሆን አለበት.
apps/erpnext/erpnext/selling/page/sales_analytics/sales_analytics.js +33,Customer Group / Customer,የደንበኛ ቡድን / የደንበኛ
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py +24,Current Job Openings,የአሁኑ ክፍት የሥራ ቦታዎች
DocType: Sales Invoice,Payment Due Date,ክፍያ መጠናቀቅ ያለበት ቀን
DocType: Sales Order,Customer's Purchase Order,ደንበኛ የግዢ ትዕዛዝ
apps/erpnext/erpnext/config/accounts.py +107,Accounting Statements,አካውንቲንግ መግለጫ
apps/erpnext/erpnext/stock/get_item_details.py +128,"Item {0} is a template, please select one of its variants","{0} ንጥል አብነት ነው, በውስጡ ከተለዋጮችዎ አንዱ ይምረጡ"
DocType: Bin,FCFS Rate,FCFS ተመን
DocType: Lead,Lost Quotation,የጠፋ ትዕምርተ
DocType: Production Order,Manufacture against Material Request,የቁስ ጥያቄ ላይ ለማምረት
DocType: SMS Log,No of Requested SMS,ተጠይቋል ኤስ የለም
DocType: Company,Default Payable Account,ነባሪ ተከፋይ መለያ
DocType: Employee,Health Concerns,የጤና ሰጋት
DocType: Leave Type,Leave Type Name,አይነት ስም ውጣ
DocType: Purchase Order Item Supplied,Raw Material Item Code,ጥሬ ሐሳብ ያለው ንጥል ኮድ
apps/erpnext/erpnext/stock/doctype/item/item.py +425,Default BOM ({0}) must be active for this item or its template,ነባሪ BOM ({0}) ይህ ንጥል ወይም አብነት ገባሪ መሆን አለበት
apps/erpnext/erpnext/public/js/setup_wizard.js +295,Consumable,Consumable
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +25,Total Paid Amount,ጠቅላላ የሚከፈልበት መጠን
,Sales Person-wise Transaction Summary,የሽያጭ ሰው-ጥበብ የግብይት ማጠቃለያ
DocType: Purchase Invoice,Terms,ውል
DocType: Expense Claim,Expenses,ወጪ
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +831,Material Request,ቁሳዊ ጥያቄ
DocType: Serial No,Out of Warranty,የዋስትና ውጪ
apps/erpnext/erpnext/public/js/setup_wizard.js +36,The Organization,ድርጅቱ
DocType: Production Order,Planned Operating Cost,የታቀደ ስርዓተ ወጪ
DocType: Holiday List,Get Weekly Off Dates,ሳምንታዊ ጠፍቷል ቀኖች ያግኙ
DocType: Item,Quality Parameters,የጥራት መለኪያዎች
DocType: Hub Settings,Seller Country,ሻጭ አገር
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py +252,Installation Note {0} has already been submitted,የአጫጫን ማስታወሻ {0} አስቀድሞ ገብቷል
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +168,Multiple active Salary Structures found for employee {0} for the given dates,ለተሰጠው ቀናት ሠራተኛ {0} አልተገኘም በርካታ ገባሪ ደመወዝ መዋቅሮች
apps/erpnext/erpnext/templates/pages/cart.html +16,Place Order,ቦታ አያያዝ
apps/erpnext/erpnext/accounts/utils.py +314,Allocated amount can not be negative,የተመደበ መጠን አሉታዊ መሆን አይችልም
DocType: Item Variant Attribute,Item Variant Attribute,ንጥል ተለዋጭ መገለጫ ባህሪ
DocType: SMS Settings,SMS Gateway URL,ኤስ ኤም ኤስ ጌትዌይ ዩ አር ኤል
apps/erpnext/erpnext/config/accounts.py +69,Tree of financial accounts.,የገንዘብ መለያዎች ዛፍ.
DocType: Maintenance Visit,Breakdown,መሰባበር
DocType: SMS Parameter,SMS Parameter,ኤስ ኤም ኤስ ልኬት
DocType: POS Profile,Item Groups,ንጥል ቡድኖች
DocType: Purchase Order,To Receive and Bill,ይቀበሉ እና ቢል
apps/erpnext/erpnext/accounts/report/purchase_register/purchase_register.py +104,Total Tax,ጠቅላላ ግብር
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +157,Start date should be less than end date for Item {0},ንጥል የማብቂያ ቀን ያነሰ መሆን አለበት የመጀመሪያ ቀን {0}
apps/erpnext/erpnext/accounts/doctype/asset/depreciation.py +94,Please set Depreciation related Accounts in Asset Category {0} or Company {1},የንብረት ምድብ {0} ወይም ኩባንያ ውስጥ መቀነስ ጋር የተያያዙ መለያዎች ማዘጋጀት እባክዎ {1}
apps/erpnext/erpnext/controllers/trends.py +269,Project-wise data is not available for Quotation,ፕሮጀክት-ጥበብ ውሂብ ትዕምርተ አይገኝም
DocType: Purchase Receipt,Return Against Purchase Receipt,የግዢ ደረሰኝ ላይ ይመለሱ
DocType: Leave Block List,Block Days,አግድ ቀኖች
apps/erpnext/erpnext/setup/doctype/company/company.js +66,Delete all the Transactions for this Company,ይህ ኩባንያ ሁሉም ግብይቶች ሰርዝ
DocType: Lead,Add to calendar on this date,በዚህ ቀን ላይ ወደ ቀን መቁጠሪያ አክል
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py +24,POS Profile {0} already created for user: {1} and company {2},POS መገለጫ {0} አስቀድሞ ተጠቃሚ ተፈጥሯል: {1} እና ኩባንያ {2}
DocType: Email Digest,Profit & Loss,ትርፍ እና ኪሳራ
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js +25,Account Pay Only,መለያ ክፍያ ብቻ
apps/erpnext/erpnext/public/js/setup_wizard.js +283,Your Products or Services,የእርስዎ ምርቶች ወይም አገልግሎቶች
DocType: Stock Reconciliation,SR/,ድራይቨር /
apps/erpnext/erpnext/schools/doctype/course_schedule/course_schedule.py +26,Student Batch or Student Group is mandatory,ተማሪ ባች ወይም የተማሪ ቡድን የግዴታ ነው
apps/erpnext/erpnext/config/accounts.py +205,Tree of financial Cost Centers.,የገንዘብ ወጪ ማዕከላት ዛፍ.
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +166,Actual type tax cannot be included in Item rate in row {0},ትክክለኛው ዓይነት የግብር ረድፍ ውስጥ ንጥል ተመን ውስጥ ሊካተቱ አይችሉም {0}
apps/erpnext/erpnext/config/setup.py +61,Printing and Branding,ፕሪንቲንግ እና የምርት
DocType: Item,Will also apply for variants,በተጨማሪም ተለዋጮች ማመልከት ይሆን
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +62,Posting Date cannot be future date,መለጠፍ ቀን ወደፊት ቀን ሊሆን አይችልም
apps/erpnext/erpnext/accounts/doctype/account/account.js +49,Chart of Accounts,መለያዎች ገበታ
DocType: Journal Entry,Contra Entry,Contra የሚመዘገብ መረጃ
DocType: Production Plan Item,Planned Qty,የታቀደ ብዛት
DocType: Email Digest,Add Quote,Quote አክል
DocType: Process Payroll,Select Employees,ይምረጡ ሰራተኞች
DocType: Item,Opening Stock,በመክፈት ላይ የአክሲዮን
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +84,Analyst,ተንታኝ
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.js +49,Score must be less than or equal to 5,ነጥብ 5 ያነሰ ወይም እኩል መሆን አለበት
DocType: Purchase Invoice,Posting Time,መለጠፍ ሰዓት
DocType: Shopping Cart Settings,Default settings for Shopping Cart,ወደ ግዢ ሳጥን ጨመር ነባሪ ቅንብሮች
DocType: Period Closing Voucher,Closing Fiscal Year,በጀት ዓመት መዝጊያ
,POS,POS
DocType: Fees,Fees,ክፍያዎች
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +154,Please select Incharge Person's name,Incharge ሰው ስም ይምረጡ
DocType: Sales Partner,Reseller,ሻጭ
apps/erpnext/erpnext/schools/doctype/student_group_creation_tool/student_group_creation_tool.py +35,Course is mandatory in row {0},ኮርስ ረድፍ ላይ ግዴታ ነው {0}
DocType: Company,Default Cash Account,ነባሪ በጥሬ ገንዘብ መለያ
DocType: Sales Order Item,Ordered Qty,የዕቃው መረጃ ብዛት
DocType: Item,"If this item has variants, then it cannot be selected in sales orders etc.","ይህ ንጥል ተለዋጮች ያለው ከሆነ, ከዚያም የሽያጭ ትዕዛዞች ወዘተ መመረጥ አይችልም"
apps/erpnext/erpnext/accounts/doctype/account/account.py +48,Account {0}: Parent account {1} does not exist,መለያ {0}: የወላጅ መለያ {1} የለም
apps/erpnext/erpnext/config/accounts.py +140,Update Bank Transaction Dates,አዘምን ባንክ የግብይት ቀኖች
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +218,Purchase Order {0} is not submitted,ትዕዛዝ {0} አልተካተተም ነው ይግዙ
DocType: Purchase Invoice,Recurring Id,ተደጋጋሚ መታወቂያ
DocType: Lead,Product Enquiry,የምርት Enquiry
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +150,Please select Start Date and End Date for Item {0},ንጥል ለ የመጀመሪያ ቀን እና ማብቂያ ቀን ይምረጡ {0}
DocType: Purchase Invoice,Party Account Currency,የድግስ መለያ ምንዛሬ
DocType: UOM,UOM Name,UOM ስም
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py +151,Please set filter based on Item or Warehouse,ንጥል ወይም መጋዘን ላይ የተመሠረተ ማጣሪያ ማዘጋጀት እባክዎ
DocType: Assessment,Examiner,መርማሪ
DocType: Customer,From Lead,ሊድ ከ
apps/erpnext/erpnext/controllers/trends.py +39,'Based On' and 'Group By' can not be same,እና &#39;የቡድን በ&#39; &#39;ላይ የተመሠረተ »ጋር ተመሳሳይ መሆን አይችልም
DocType: SG Creation Tool Course,Student Group Name,የተማሪ የቡድን ስም
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +182,Responsibilities,ሃላፊነቶች
DocType: Fiscal Year,Year Start Date,ዓመት መጀመሪያ ቀን
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +129,Atleast one warehouse is mandatory,ቢያንስ አንድ መጋዘን የግዴታ ነው
DocType: Course Schedule,SH,SH
apps/erpnext/erpnext/config/manufacturing.py +62,Details of the operations carried out.,ስለ ስራዎች ዝርዝሮች ፈጽሟል.
DocType: Supplier Quotation Item,Prevdoc DocType,Prevdoc DocType
DocType: Sales Person,Name and Employee ID,ስም እና የሰራተኛ መታወቂያ
DocType: Stock Entry,Total Additional Costs,ጠቅላላ ተጨማሪ ወጪዎች
DocType: Daily Work Summary Settings,Daily Work Summary Settings,ዕለታዊ የስራ ማጠቃለያ ቅንብሮች
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +181,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Production Order # {3}. Please update operation status via Time Logs,የረድፍ # {0}: ክወና {1} በምርት ላይ ሲጨርስ ሸቀጦች {2} ብዛት ይሞላል አይደለም ትዕዛዝ # {3}. ጊዜ ምዝግብ በኩል ክወና ሁኔታ ያዘምኑ
apps/erpnext/erpnext/fleet_management/doctype/vehicle_log/vehicle_log.py +40,Expense Claim {0} already exists for the Vehicle Log,ወጪ የይገባኛል ጥያቄ {0} ቀደም የተሽከርካሪ ምዝግብ ማስታወሻ ለ አለ
DocType: Maintenance Visit,Maintenance User,ጥገና ተጠቃሚ
apps/erpnext/erpnext/config/selling.py +91,Rules for applying pricing and discount.,ለዋጋ እና ቅናሽ ተግባራዊ ደንቦች.
apps/erpnext/erpnext/stock/doctype/stock_settings/stock_settings.py +24,`Freeze Stocks Older Than` should be smaller than %d days.,`እሰር አክሲዮኖች የቆየ Than`% d ቀኖች ያነሰ መሆን ይኖርበታል.
apps/erpnext/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py +235,No Production Orders created,የተፈጠረ ምንም የምርት ትዕዛዞች
DocType: Vehicle Service,Half Yearly,ግማሽ ዓመታዊ
apps/erpnext/erpnext/hr/doctype/offer_letter/offer_letter.js +15,Make Employee,የሰራተኛ አድርግ
DocType: Lead,Lead,አመራር
apps/erpnext/erpnext/accounts/report/asset_depreciation_ledger/asset_depreciation_ledger.py +57,Depreciation Date,የእርጅና ቀን
apps/erpnext/erpnext/config/buying.py +7,Purchasing,የግዥ
DocType: Opportunity,Customer / Lead Address,ደንበኛ / በእርሳስ አድራሻ
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +106,Credit To account must be a Balance Sheet account,መለያ ወደ ክሬዲት ሚዛን ሉህ መለያ መሆን አለበት
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py +40,No Items to pack,ምንም ንጥሎች ለመሸከፍ
DocType: Employee,Date of Issue,የተሰጠበት ቀን
DocType: Purchase Receipt,Time at which materials were received,ቁሳቁስ ተሰጥቷቸዋል ነበር ይህም በ ጊዜ
apps/erpnext/erpnext/config/setup.py +88,Email Notifications,የኢሜይል ማሳወቂያዎች
